StartDate,EndDate,Duration (in seconds),ResponseId,def,crime,terror,poor,health,econ,abort,unemploy,blkaid,adopt,imm,vaccines,guns,djt,interest,friends_1,friends_2,friends_3,friends_4,friends_5,tense,death,ewry,values,ideo,partyid,votereport,gender,ethnic,edu,inc,age,state,relig,wave,voting,climate,check,beh_att_1,beh_att_2,beh_att_3,beh_identity,virusthreat,quarantine,sickleave,fourth,id
2019-05-08T16:22:57Z,2019-05-08T16:25:47Z,169,R_3J8BA6SRQABpv0m,3,4,2,7,7,4,4,6,5,7,4,1,2,4,3,6,3,7,2,6,6,6,7,5,2,1,2,1,3,9,4,32,39,10,1,clinton,,,,,,,,,,,R_3J8BA6SRQABpv0m
2019-05-08T16:23:02Z,2019-05-08T16:25:26Z,143,R_2cc1lnLBTLlNGTO,1,3,2,7,4,4,4,4,7,7,3,1,2,4,3,6,6,6,6,6,2,2,5,4,1,1,2,2,3,8,5,43,14,12,1,clinton,,,,,,,,,,,R_2cc1lnLBTLlNGTO
2019-05-08T16:26:05Z,2019-05-08T16:31:34Z,329,R_1gSVfTIIHe2aF09,4,7,4,7,6,7,4,3,4,1,4,1,3,1,7,7,7,7,7,7,1,2,6,6,5,6,1,1,34,8,2,35,23,2,1,trump,,,,,,,,,,,R_1gSVfTIIHe2aF09
2019-05-08T16:28:10Z,2019-05-08T16:31:37Z,206,R_yDxVBXLpG892Xgl,3,3,3,6,3,5,2,5,5,2,7,1,4,2,7,7,7,7,7,7,1,3,5,7,6,6,1,2,3,5,4,56,19,1,1,trump,,,,,,,,,,,R_yDxVBXLpG892Xgl
2019-05-08T16:28:20Z,2019-05-08T16:32:41Z,261,R_1Nk1O1By831f1ie,1,3,3,6,6,4,2,4,5,7,2,1,1,4,5,6,2,5,2,6,6,3,7,6,2,2,2,2,3,9,4,30,36,10,1,clinton,,,,,,,,,,,R_1Nk1O1By831f1ie
2019-05-08T16:29:19Z,2019-05-08T16:33:17Z,238,R_3siX0x52o60OMa4,1,1,1,7,7,5,4,4,7,7,1,7,1,4,7,6,3,5,2,2,1,5,7,4,2,3,4,1,3,4,5,25,10,9,1,other,,,,,,,,,,,R_3siX0x52o60OMa4
2019-05-08T16:33:21Z,2019-05-08T16:37:45Z,264,R_2zMXIUGon30Qgnk,1,2,2,7,6,4,4,6,7,7,5,2,1,4,7,7,5,6,4,6,5,2,5,6,1,2,2,1,3,8,5,34,20,9,1,clinton,,,,,,,,,,,R_2zMXIUGon30Qgnk
2019-05-08T16:34:40Z,2019-05-08T16:38:08Z,207,R_2cbwGQ3vwi4tT29,2,4,3,5,5,6,5,5,5,7,3,1,2,3,5,6,7,7,7,7,4,6,5,4,4,3,2,2,3,9,5,33,32,10,1,clinton,,,,,,,,,,,R_2cbwGQ3vwi4tT29
2019-05-08T16:34:42Z,2019-05-08T16:38:35Z,233,R_BYwnuspKh75unpT,5,6,6,2,4,4,3,3,5,7,6,1,4,2,7,5,7,7,7,5,2,1,3,5,6,5,4,2,7,8,6,33,5,5,1,trump,,,,,,,,,,,R_BYwnuspKh75unpT
2019-05-08T16:36:40Z,2019-05-08T16:40:45Z,244,R_3R2wNLQYNwtPb8Y,7,7,7,7,7,7,1,7,4,4,7,4,2,2,5,7,7,7,7,7,4,5,7,7,4,5,1,2,3,7,3,31,1,11,1,trump,,,,,,,,,,,R_3R2wNLQYNwtPb8Y
2019-05-08T16:36:54Z,2019-05-08T16:40:35Z,220,R_2uJWTR54ZHuDKDu,1,8,3,7,7,6,2,6,3,9,5,9,2,2,6,5,5,5,5,5,2,3,5,6,4,4,1,2,8,8,3,30,14,12,1,other,,,,,,,,,,,R_2uJWTR54ZHuDKDu
2019-05-08T16:37:46Z,2019-05-08T16:40:25Z,159,R_3nU8PzRELwFlgBj,5,4,5,4,6,3,4,4,4,7,5,1,3,4,7,6,5,7,5,7,4,4,5,5,3,1,2,2,3,8,5,29,9,5,1,clinton,,,,,,,,,,,R_3nU8PzRELwFlgBj
2019-05-08T16:39:13Z,2019-05-08T16:47:44Z,510,R_3PNahG6gckXuFOy,6,6,6,5,3,5,4,5,4,2,6,1,5,1,6,4,7,6,7,5,2,1,6,7,7,7,1,1,3,11,5,44,49,1,1,trump,,,,,,,,,,,R_3PNahG6gckXuFOy
2019-05-08T16:39:40Z,2019-05-08T16:44:53Z,312,R_11cIRF8hmAk1g9d,3,4,3,5,6,4,4,5,5,7,3,1,2,4,5,5,4,6,5,5,4,5,5,5,3,4,2,2,3,8,6,33,48,1,1,clinton,,,,,,,,,,,R_11cIRF8hmAk1g9d
2019-05-08T16:40:06Z,2019-05-08T16:43:16Z,190,R_2ag9EJCxRD1R1nr,1,1,2,6,7,3,4,4,6,7,2,1,1,4,7,7,1,3,1,7,2,1,5,5,1,1,2,2,3,8,6,32,24,9,1,clinton,,,,,,,,,,,R_2ag9EJCxRD1R1nr
2019-05-08T16:40:22Z,2019-05-08T16:41:20Z,58,R_2uvxKYzJslR68X2,7,5,6,4,6,5,6,6,5,5,6,6,6,4,5,3,6,5,6,3,4,4,4,5,5,5,1,1,1,8,6,48,44,8,1,trump,,,,,,,,,,,R_2uvxKYzJslR68X2
2019-05-08T16:41:25Z,2019-05-08T16:44:55Z,210,R_2atU5D8zltL37WQ,2,4,3,6,7,5,4,5,5,7,2,2,3,4,6,7,2,7,2,7,5,5,4,1,1,3,2,2,3,9,2,26,23,10,1,clinton,,,,,,,,,,,R_2atU5D8zltL37WQ
2019-05-08T16:47:07Z,2019-05-08T16:55:56Z,529,R_XuL0rieAlkX9A2J,5,5,6,6,4,4,3,7,4,1,7,1,1,2,5,3,7,7,7,6,1,7,3,4,6,6,1,1,3,6,4,39,14,10,1,trump,,,,,,,,,,,R_XuL0rieAlkX9A2J
2019-05-08T16:47:14Z,2019-05-08T16:56:09Z,534,R_bQ4rri6DV5hqeUV,5,7,4,5,7,7,2,5,5,2,4,1,4,3,1,7,7,7,7,7,1,7,5,5,4,9,4,1,3,7,1,46,23,12,1,other,,,,,,,,,,,R_bQ4rri6DV5hqeUV
